#"+EI TIC Scan TOL-Blank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0701565022094975
1,2.102,0.072296834332811
2,2.110,0.0600628505540684
3,2.117,0.0797405509784235
4,2.125,0.0639674630154827
5,2.132,0.0562953036966101
6,2.140,0.0532693169015807
7,2.147,0.0630396343117803
8,2.155,0.0677631258942652
9,2.163,0.0566432394604985
10,2.170,0.0573320819829443
11,2.178,0.0599679589820988
12,2.185,0.0539476159160298
13,2.193,0.0690107743405317
14,2.200,0.0699245450335719
15,2.208,0.0541514570706311
16,2.215,0.0573004514589544
17,2.223,0.0606427434938824
18,2.230,0.124174408178838
19,2.238,0.163361112899602
20,2.245,0.118779646587235
21,2.253,0.0740470566602497
22,2.260,0.0654365251296781
23,2.268,0.0709261782932507
24,2.276,0.070602844048021
25,2.283,0.0709191492879196
26,2.291,0.0633243090276889
27,2.298,0.0584110343012649
28,2.306,0.0579963229867312
29,2.313,0.0653521770657052
30,2.321,0.0493119869001833
31,2.328,0.049283870878859
32,2.336,0.043569289544692
33,2.343,0.0574937491055591
34,2.351,0.0684906279460319
35,2.358,0.0642134782020704
36,2.366,0.0608008961138317
37,2.374,0.0461489345011979
38,2.381,0.0462086810465121
39,2.389,0.0423427281144187
40,2.396,0.0421072564358276
41,2.404,0.0372326412387244
42,2.411,0.0452843668454752
43,2.419,0.0668845002278804
44,2.426,0.0507810490143788
45,2.434,0.114716881505872
46,2.441,0.419009551293604
47,2.449,0.322729750771152
48,2.456,0.0759132575756511
49,2.464,0.0552690689182726
50,2.471,0.0464125222011133
51,2.479,0.0463141161264782
52,2.487,0.0409298980428719
53,2.494,0.0364770231656334
54,2.502,0.0367124948442246
55,2.509,0.07782866152837
56,2.517,0.0787951497613934
57,2.524,0.0863021274549856
58,2.532,0.0788021787667245
59,2.539,0.0489007900883152
60,2.547,0.039249965768744
61,2.554,0.0600206765220819
62,2.562,0.0508899985970105
63,2.569,0.0756953584103876
64,2.577,0.066543593469323
65,2.585,0.0412251162667772
66,2.592,0.0445111762590565
67,2.600,0.0407049698722774
68,2.607,0.0573074804642855
69,2.615,0.0449048005575969
70,2.622,0.0444127701844214
71,2.630,0.045713136170671
72,2.637,0.0589733547277512
73,2.645,0.0848190073301279
74,2.652,0.0683887073687312
75,2.660,0.0546962049837897
76,2.667,0.051824856306044
77,2.675,0.0444654877244045
78,2.682,0.0410880506628211
79,2.690,0.0514277175048381
80,2.698,0.0392359077580819
81,2.705,0.0438504497579351
82,2.713,0.0446728433816713
83,2.720,0.0392007627314265
84,2.728,0.0400161273498316
85,2.735,0.0505666643517809
86,2.743,0.0413481238600711
87,2.750,0.068810447688596
88,2.758,0.112502744826582
89,2.765,0.0857538650391614
90,2.773,0.0597219437955111
91,2.780,0.050886484094345
92,2.788,0.0604740473659365
93,2.796,0.105737327195418
94,2.803,0.0691091804151668
95,2.811,0.0395311259819872
96,2.818,0.0420685969065066
97,2.826,0.0529108376296957
98,2.833,0.0666912025812757
99,2.841,0.0457201651760021
100,2.848,0.0412040292507839
101,2.856,0.0416749726079662
102,2.863,0.0537367457560975
103,2.871,0.0511043832596084
104,2.878,0.0486723474150552
105,2.886,0.0524680102938377
106,2.893,0.0411899712401218
107,2.901,0.0560879480393433
108,2.909,0.058555128910552
109,2.916,0.0601823436446967
110,2.924,0.0595989362022172
111,2.931,0.0692497605217884
112,2.939,0.054365841733229
113,2.946,0.0599468719661056
114,2.954,0.0576202712015185
115,2.961,0.0524152927538546
116,2.969,0.121770488355609
117,2.976,3.53833099361176
118,2.984,25.4769390987297
119,2.991,64.136911246999
120,2.999,100
121,3.007,32.4706974825758
122,3.014,0.19680160576221
123,3.022,0.0977523771393129
124,3.029,0.0818492525777471
125,3.037,0.0943819690830606
126,3.044,0.0738643025216416
127,3.052,0.0772347105778939
128,3.059,0.0969405270235733
129,3.067,0.0792063465732615
130,3.074,0.0721035366862064
131,3.082,0.0742298107988577
132,3.089,0.0578311413614509
133,3.097,0.046964299119603
134,3.104,0.063155612899743
135,3.112,0.0580244390080555
136,3.120,0.0491186892535787
137,3.127,0.0612542669576862
138,3.135,0.0784226124788462
139,3.142,0.100686986865038
140,3.150,0.0938477646778986
141,3.157,0.0533606939708847
142,3.165,0.0566678409791573
143,3.172,0.0681251196688158
144,3.180,0.0655630472256375
145,3.187,0.0574656330842348
146,3.195,0.0641818476780806
147,3.202,0.0630993808570944
148,3.210,0.048742637468366
149,3.217,0.0438082757259486
150,3.225,0.040142649445791
151,3.233,0.0478815843153088
152,3.240,0.0413024353254191
153,3.248,0.0374329678906602
154,3.255,0.0830512124893616
155,3.263,0.555674501945769
156,3.270,1.24426398019957
157,3.278,0.648829909598557
158,3.285,0.111820931309467
159,3.293,0.0457166506733365
160,3.300,0.0523274301872162
161,3.308,0.0881577848623904
162,3.315,0.075997605639624
163,3.323,0.068191895219461
164,3.331,0.0526085904004593
165,3.338,0.0472489738355117
166,3.346,0.0454952370054076
167,3.353,0.0240954302749381
168,3.361,0.0342101689463605
169,3.368,0.0278208031004099
170,3.376,0.0418120382119223
171,3.383,0.0398860907512067
172,3.391,0.0313142187499561
173,3.398,0.0405222157336693
174,3.406,0.041249717785436
175,3.413,0.031170124140669
176,3.421,0.0385646377489639
177,3.428,0.037555975483954
178,3.436,0.0340344438130836
179,3.444,0.0344210391062929
180,3.451,0.0546259149304789
181,3.459,0.193424168700627
182,3.466,0.284966419629931
183,3.474,0.105515913527489
184,3.481,0.0454284614547623
185,3.489,0.0939848302818547
186,3.496,0.111009081193728
187,3.504,0.0548473285984079
188,3.511,0.0372537282547177
189,3.519,0.0335670149585668
190,3.526,0.0330363250560704
191,3.534,0.0335213264239148
192,3.542,0.029216060658629
193,3.549,0.0421002274304965
194,3.557,0.0403605486110545
195,3.564,0.0439418268272391
196,3.572,0.0313177332526216
197,3.579,0.026759423295417
198,3.587,0.0311595806326723
199,3.594,0.0447853074669686
200,3.602,0.0386876453422577
201,3.609,0.0380796363811194
202,3.617,0.0277118535177782
203,3.624,0.0330820135907224
204,3.632,0.0269316339260284
205,3.639,0.035099338120742
206,3.647,0.0285412761468455
207,3.655,0.0323896565656111
208,3.662,0.0226896292087224
209,3.670,0.0276485924697985
210,3.677,0.0359393042578059
211,3.685,0.0218250615529997
212,3.692,0.0290508790333487
213,3.700,0.0304180205702435
214,3.707,0.0402023959911052
215,3.715,0.0359603912737992
216,3.722,0.0300279107743687
217,3.730,0.0264642050715117
218,3.737,0.0327551648428272
219,3.745,0.028186311377626
220,3.753,0.0278243176030754
221,3.760,0.0234241602658201
222,3.768,0.0254731153198296
223,3.775,0.0331101296120467
224,3.783,0.0272725406845858
225,3.790,0.0286572547348083
226,3.798,0.0244995980814752
227,3.805,0.0306464632435036
228,3.813,0.0227177452300467
229,3.820,0.0235120228324586
230,3.828,0.0271671056046196
231,3.835,0.0215966188797396
232,3.843,0.0238388715803538
233,3.850,0.0274096062885418
234,3.858,0.0270757285353156
235,3.866,0.0138084809729043
236,3.873,0.0299330192023991
237,3.881,0.0274131207912073
238,3.888,0.0220851347502496
239,3.896,0.0197831355043213
240,3.903,0.0157379429362854
241,3.911,0.0164408434693933
242,3.918,0.0297186345398012
243,3.926,0.0291774011293081
244,3.933,0.0204895505400947
245,3.941,0.0217090829650369
246,3.948,0.0148628317725661
247,3.956,0.0170910264625181
248,3.963,0.0499340538719838
249,3.971,0.0948564269429085
250,3.979,0.0516561601780981
251,3.986,0.0303547595222638
252,3.994,0.0213330311798242
253,4.001,0.0253149626998803
254,4.009,0.0266399302047887
255,4.016,0.0211889365705371
256,4.024,0.0270405835086602
257,4.031,0.0257191305064173
258,4.039,0.0270792430379811
259,4.046,0.0181207757435212
260,4.054,0.0292406621772878
261,4.061,0.0266891332421062
262,4.069,0.0142021052714447
263,4.077,0.039510038965994
264,4.084,0.108527842311857
265,4.092,0.364070845625892
266,4.099,0.583087622736977
267,4.107,0.244637501542867
268,4.114,0.0472138288088563
269,4.122,0.0293777277812439
270,4.129,0.0244468805414921
271,4.137,0.022608795647415
272,4.144,0.0177236369423152
273,4.152,0.025019744475975
274,4.159,0.0159909871282043
275,4.167,0.0161421107428225
276,4.174,0.0262533349115793
277,4.182,0.0182051238074941
278,4.190,0.0214419807624559
279,4.197,0.0215931043770741
280,4.205,0.0239372776549889
281,4.212,0.0252798176732249
282,4.220,0.018419508470092
283,4.227,0.0190064304152371
284,4.235,0.0212521976185168
285,4.242,0.0343929230849686
286,4.250,0.190725030653492
287,4.257,0.538864635696494
288,4.265,0.307206192497465
289,4.272,0.0623718788053278
290,4.280,0.0277505130470991
291,4.288,0.0313036752419594
292,4.295,0.0196003813657132
293,4.303,0.0274025772832107
294,4.310,0.025462571811833
295,4.318,0.0297116055344701
296,4.325,0.0224119834981448
297,4.333,0.0168028372439439
298,4.340,0.0203946589681251
299,4.348,0.0193649096871221
300,4.355,0.0157273994282888
301,4.363,0.0288927264133994
302,4.370,0.0171050844731803
303,4.378,0.0176779484076632
304,4.385,0.0186303786300244
305,4.393,0.0259475731796774
306,4.401,0.0264888065901705
307,4.408,0.041256746790767
308,4.416,0.124360676820112
309,4.423,0.122195743178139
310,4.431,0.0424235616757261
311,4.438,0.0242746699108806
312,4.446,0.0222819468995198
313,4.453,0.0245523156214583
314,4.461,0.0218285760556652
315,4.468,0.0154954422523632
316,4.476,0.0328852014414522
317,4.483,0.020243535353507
318,4.491,0.0156149353429916
319,4.499,0.0267559087927515
320,4.506,0.027163591101954
321,4.514,0.0180786017115347
322,4.521,0.021456038773118
323,4.529,0.0200994407442198
324,4.536,0.016412727448069
325,4.544,0.0292758072039432
326,4.551,0.0193227356551356
327,4.559,0.0208831748386351
328,4.566,0.0136186978289652
329,4.574,0.0229426734006412
330,4.581,0.0277294260311059
331,4.589,0.0189115388432675
332,4.596,0.0121355777041076
333,4.604,0.0197128454510105
334,4.612,0.0177798689849638
335,4.619,0.0164795029987143
336,4.627,0.0145570700406642
337,4.634,0.012307788334719
338,4.642,0.0153478331404106
339,4.649,0.0128455072425465
340,4.657,0.0138084809729043
341,4.664,0.0101393401900812
342,4.672,0.0123464478640399
343,4.679,0.0107192331298952
344,4.687,0.014894462296556
345,4.694,0.0169434173505655
346,4.702,0.00852618346659859
347,4.710,0.0171824035318221
348,4.717,0.0130142033704924
349,4.725,0.0134113421716984
350,4.732,0.0105329644886216
351,4.740,0.00842074838663241
352,4.747,0.0111866619844119
353,4.755,0.0149998973765222
354,4.762,0.0132567040544146
355,4.770,0.0163951549347413
356,4.777,0.0187217556993284
357,4.785,0.0139877206088468
358,4.792,0.0225209330807765
359,4.800,0.0177517529636395
360,4.807,0.0106173125525945
361,4.815,0.00787248597080826
362,4.823,0.0130212323758235
363,4.830,0.0423743586384086
364,4.838,0.0796843189357749
365,4.845,0.0738115849816585
366,4.853,0.0250478604972993
367,4.860,0.0134956902356713
368,4.868,0.025645325950441
369,4.875,0.0120055411054826
370,4.883,0.0116470618335976
371,4.890,0.0126416660879452
372,4.898,0.0110074223484694
373,4.905,0.0101533982007433
