#"+EI TIC Scan TOL-EndBlank.d "
#Point,X(Minutes),Y(Counts)
0,2.095,0.0876765701680082
1,2.102,0.0891830652753492
2,2.110,0.0927957633744883
3,2.117,0.067604419529191
4,2.125,0.069031435278351
5,2.132,0.075989491817293
6,2.140,0.0745155109928442
7,2.148,0.060256191595542
8,2.155,0.0716434160040286
9,2.163,0.0638363754117889
10,2.170,0.0641868071274054
11,2.178,0.0636954801859224
12,2.185,0.0583125600182051
13,2.193,0.0784208376380136
14,2.200,0.0704981907066015
15,2.208,0.0619613850983357
16,2.215,0.0701405335947867
17,2.223,0.0593313408821623
18,2.230,0.149121339438167
19,2.238,0.148973218816102
20,2.245,0.10894452387764
21,2.253,0.0708666859127137
22,2.261,0.0738327110521069
23,2.268,0.0735653713927706
24,2.276,0.0709389398746965
25,2.283,0.0752958537822583
26,2.291,0.0566940712697908
27,2.298,0.0588327885444811
28,2.306,0.0603176074632273
29,2.313,0.064800965804259
30,2.321,0.0519831129485133
31,2.328,0.0472829927215333
32,2.336,0.0622937533234565
33,2.343,0.058233080660024
34,2.351,0.061632629571314
35,2.359,0.0580849600379593
36,2.366,0.0680018163200963
37,2.374,0.0648948959548366
38,2.381,0.0456825674636146
39,2.389,0.0554476904255878
40,2.396,0.0424961677401739
41,2.404,0.0399564409764791
42,2.411,0.0573407442295367
43,2.419,0.0721094540588175
44,2.426,0.0500214178806807
45,2.434,0.159623452812364
46,2.441,0.459798925171738
47,2.449,0.282827296087307
48,2.456,0.063059645320474
49,2.464,0.059945499559016
50,2.472,0.0481970053406155
51,2.479,0.0392772537338409
52,2.487,0.0525864335310695
53,2.494,0.0412895265750614
54,2.502,0.0525250176633842
55,2.509,0.098290677183279
56,2.517,0.0862459417207491
57,2.524,0.102065946696879
58,2.532,0.0850862656309254
59,2.539,0.0566615569868985
60,2.547,0.0499527766167971
61,2.554,0.0518349923264486
62,2.562,0.065136946727479
63,2.570,0.0812242913629456
64,2.577,0.0739699935798742
65,2.585,0.0500575448616721
